,D1,D2,D3
T1310,30,30,30
T1311,30,30,30
T1312,30,30,30
T1313,30,30,30
T1314,30,30,30
T1315,30,30,30
T1316,30,30,30
T1317,30,30,30
T1318,30,30,30
T1319,30,30,30
T1320,30,30,30
T1321,30,30,30
T1322,30,30,30
T1323,30,30,30
T1324,30,30,30
T1325,30,30,30
T1326,30,30,30
T1327,30,30,30
T1328,30,30,30
T1329,30,30,30
T1330,30,30,30
T1331,30,30,30
T1332,30,30,30
T1333,30,30,30
T1334,30,30,30
T1335,30,30,30
T1336,30,30,30
T1337,30,30,30
T1338,30,30,30
T1339,30,30,30
T1340,30,30,30
T1341,30,30,30
T1342,30,30,30
T1343,30,30,30
T1344,30,30,30
T1345,30,30,30
T1346,30,30,30
T1347,30,30,30
T1348,30,30,30
T1349,30,30,30
T1350,30,30,30
T1351,30,30,30
T1352,30,30,30
T1353,30,30,30
T1354,30,30,30
T1355,30,30,30
T1356,30,30,30
T1357,30,30,30
T1358,30,30,30
T1359,30,30,30
T1360,30,30,30
T1361,30,30,30
T1362,30,30,30
T1363,30,30,30
T1364,30,30,30
T1365,30,30,30
T1366,30,30,30
T1367,30,30,30
T1368,30,30,30
T1369,30,30,30
T1370,30,30,30
T1371,30,30,30
T1372,30,30,30
T1373,30,30,30
T1374,30,30,30
T1375,30,30,30
T1376,30,30,30
T1377,30,30,30
T1378,30,30,30
T1379,30,30,30
T1380,30,30,30
T1381,30,30,30
T1382,30,30,30
T1383,30,30,30
T1384,30,30,30
T1385,30,30,30
T1386,30,30,30
T1387,30,30,30
T1388,30,30,30
T1389,30,30,30
T1390,30,30,30
T1391,30,30,30
T1392,30,30,30
T1393,30,30,30
