,D1,D2,D3
T6813,3.40767195347962,4.08797323758453,5.5551639126466
T6814,3.40748295429963,4.0877294649871,5.55474964074249
T6815,3.40729392813473,4.08748565961734,5.55433532552806
T6816,3.40710487509675,4.08724182162033,5.55392096725427
T6817,3.40691579529762,4.0869979511413,5.55350656617232
T6818,3.4067266888493,4.08675404832546,5.55309212253334
T6819,3.40653755586364,4.08651011331793,5.5526776365883
T6820,3.40634839645247,4.08626614626375,5.55226310858796
T6821,3.40615921072763,4.086022147308,5.55184853878316
T6822,3.40596999880083,4.08577811659559,5.55143392742441
T6823,3.405780760784,4.08553405427168,5.55101927476261
T6824,3.40559149678874,4.08528996048103,5.55060458104794
T6825,3.40540220692687,4.08504583536865,5.55018984653103
T6826,3.40521289131003,4.08480167907934,5.54977507146204
T6827,3.40502355004989,4.08455749175793,5.54936025609121
T6828,3.40483418325818,4.08431327354929,5.54894540066883
T6829,3.40464479104635,4.084069024598,5.5485305054446
T6830,3.4044553735262,4.08382474504897,5.54811557066883
T6831,3.40426593080924,4.08358043504686,5.54770059659132
T6832,3.40407646300694,4.08333609473617,5.5472855834616
T6833,3.40388697023089,4.08309172426161,5.5468705315295
T6834,3.40369745259258,4.08284732376774,5.54645544104459
T6835,3.40350791020343,4.08260289339901,5.54604031225624
T6836,3.40331834317499,4.08235843330006,5.54562514541405
T6837,3.40312875161861,4.08211394361525,5.54520994076718
T6838,3.4029391356457,4.081869424489,5.54479469856483
T6839,3.40274949536767,4.08162487606576,5.54437941905624
T6840,3.40255983089576,4.08138029848975,5.54396410249019
T6841,3.4023701423414,4.08113569190538,5.54354874911582
T6842,3.4021804298158,4.08089105645683,5.5431333591818
T6843,3.40199069343036,4.0806463922885,5.54271793293715
T6844,3.40180093329609,4.08040169954429,5.54230247063001
T6845,3.40161114952442,4.08015697836861,5.54188697250939
T6846,3.40142134222648,4.07991222890551,5.54147143882363
T6847,3.40123151151336,4.07966745129896,5.54105586982091
T6848,3.40104165749628,4.07942264569312,5.5406402657497
T6849,3.40085178028633,4.07917781223195,5.54022462685809
T6850,3.40066187999457,4.07893295105938,5.53980895339414
T6851,3.40047195673204,4.0786880623193,5.53939324560577
T6852,3.40028201060985,4.07844314615571,5.53897750374102
